directors,popularity,rating,stars,title,writers
Frank Darabont,26,9.3,"Tim Robbins,Morgan Freeman,Bob Gunton,See full cast & crew",The Shawshank Redemption,"Stephen King,Frank Darabont"
"Olivier Nakache,Éric Toledano",498,8.5,"François Cluzet,Omar Sy,Anne Le Ny,See full cast & crew",The Intouchables,"Olivier Nakache,Philippe Pozzo di Borgo,1 more credit"
Alfred Hitchcock,430,8.5,"Anthony Perkins,Janet Leigh,Vera Miles,See full cast & crew",Psycho,"Joseph Stefano,Robert Bloch"
Martin Scorsese,105,8.5,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,See full cast & crew",The Departed,"William Monahan,Alan Mak,1 more credit"
Christopher Nolan,116,8.5,"Christian Bale,Hugh Jackman,Scarlett Johansson,See full cast & crew",The Prestige,"Jonathan Nolan,Christopher Nolan,1 more credit"
Charles Chaplin,"4,064",8.5,"Charles Chaplin,Virginia Cherrill,Florence Lee,See full cast & crew",City Lights,
Damien Chazelle,284,8.5,"Miles Teller,J.K. Simmons,Melissa Benoist,See full cast & crew",Whiplash,
Ridley Scott,160,8.5,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,See full cast & crew",Gladiator,"David Franzoni,David Franzoni,2 more credits"
Robert Zemeckis,161,8.5,"Michael J. Fox,Christopher Lloyd,Lea Thompson,See full cast & crew",Back to the Future,"Robert Zemeckis,Bob Gale"
Roman Polanski,343,8.5,"Adrien Brody,Thomas Kretschmann,Frank Finlay,See full cast & crew",The Pianist,"Ronald Harwood,Wladyslaw Szpilman"
Tony Kaye,409,8.5,"Edward Norton,Edward Furlong,Beverly D'Angelo,See full cast & crew",American History X,
James Cameron,548,8.5,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,See full cast & crew",Terminator 2: Judgment Day,"James Cameron,William Wisher"
Masaki Kobayashi,"1,804",8.7,"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,See full cast & crew",Harakiri,"Yasuhiko Takiguchi,Shinobu Hashimoto"
"Roger Allers,Rob Minkoff",305,8.5,"Matthew Broderick,Jeremy Irons,James Earl Jones,See full cast & crew",The Lion King,"Irene Mecchi,Jonathan Roberts,27 more credits"
Bryan Singer,324,8.5,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri,See full cast & crew",The Usual Suspects,
Akira Kurosawa,,8.1,"Toshirô Mifune,Minoru Chiaki,Isuzu Yamada,See full cast & crew",Throne of Blood,"Hideo Oguni,Shinobu Hashimoto,2 more credits"
"Ron Clements,John Musker",785,8.0,"Scott Weinger,Robin Williams,Linda Larkin,See full cast & crew",Aladdin,"Ron Clements,John Musker,18 more credits"
Katsuhiro Ôtomo,,8.0,"Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,See full cast & crew",Akira,"Katsuhiro Ôtomo,Izô Hashimoto,1 more credit"
George Roy Hill,942,8.0,"Paul Newman,Robert Redford,Katharine Ross,See full cast & crew",Butch Cassidy and the Sundance Kid,
Charles Chaplin,"3,119",8.5,"Charles Chaplin,Paulette Goddard,Henry Bergman,See full cast & crew",Modern Times,
Ashutosh Gowariker,"3,536",8.1,"Aamir Khan,Raghuvir Yadav,Gracy Singh,See full cast & crew",Lagaan: Once Upon a Time in India,"Ashutosh Gowariker,Ashutosh Gowariker,3 more credits"
Nishikant Kamat,,8.2,"Ajay Devgn,Shriya Saran,Tabu,See full cast & crew",Drishyam,"Jeethu Joseph,Upendra Sidhaye"
"Michael Powell,Emeric Pressburger",,8.1,"Anton Walbrook,Marius Goring,Moira Shearer,See full cast & crew",The Red Shoes,"Hans Christian Andersen,Emeric Pressburger,3 more credits"
James Cameron,475,8.0,"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,See full cast & crew",The Terminator,"James Cameron,Gale Anne Hurd,1 more credit"
Rajkumar Hirani,,8.1,"Aamir Khan,Anushka Sharma,Sanjay Dutt,See full cast & crew",PK,"Rajkumar Hirani,Abhijat Joshi"
Oriol Paulo,,8.1,"Mario Casas,Ana Wagener,Jose Coronado,See full cast & crew",The Invisible Guest,
Nuri Bilge Ceylan,"2,195",8.2,"Haluk Bilginer,Melisa Sözen,Demet Akbag,See full cast & crew",Winter Sleep,"Ebru Ceylan,Nuri Bilge Ceylan,1 more credit"
Rob Reiner,297,8.1,"Cary Elwes,Mandy Patinkin,Robin Wright,See full cast & crew",The Princess Bride,"William Goldman,William Goldman"
Wim Wenders,"1,767",8.1,"Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,See full cast & crew","Paris, Texas","L.M. Kit Carson,Sam Shepard,1 more credit"
Tate Taylor,584,8.1,"Emma Stone,Viola Davis,Octavia Spencer,See full cast & crew",The Help,"Tate Taylor,Kathryn Stockett"
Richard Linklater,"1,983",8.0,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff,See full cast & crew",Before Sunset,"Richard Linklater,Julie Delpy,5 more credits"
Kar-Wai Wong,"1,744",8.1,"Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,See full cast & crew",In the Mood for Love,
Frank Capra,"4,567",8.1,"Clark Gable,Claudette Colbert,Walter Connolly,See full cast & crew",It Happened One Night,"Robert Riskin,Samuel Hopkins Adams"
Anurag Kashyap,"2,143",8.2,"Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,See full cast & crew",Gangs of Wasseypur,"Akhilesh Jaiswal,Anurag Kashyap,2 more credits"
Mathieu Kassovitz,,8.1,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,See full cast & crew",La Haine,
Céline Sciamma,78,8.2,"Noémie Merlant,Adèle Haenel,Luàna Bajrami,See full cast & crew",Portrait of a Lady on Fire,
Alfred Hitchcock,"2,390",8.1,"Laurence Olivier,Joan Fontaine,George Sanders,See full cast & crew",Rebecca,"Daphne Du Maurier,Robert E. Sherwood,3 more credits"
Tom McCarthy,574,8.1,"Mark Ruffalo,Michael Keaton,Rachel McAdams,See full cast & crew",Spotlight,"Josh Singer,Tom McCarthy"
Chan-wook Park,499,8.1,"Min-hee Kim,Jung-woo Ha,Jin-woong Cho,See full cast & crew",The Handmaiden,"Sarah Waters,Seo-kyeong Jeong,1 more credit"
"Pete Docter,David Silverman,1 more credit",860,8.0,"Billy Crystal,John Goodman,Mary Gibbs,See full cast & crew","Monsters, Inc.","Pete Docter,Jill Culton,4 more credits"
John G. Avildsen,746,8.1,"Sylvester Stallone,Talia Shire,Burt Young,See full cast & crew",Rocky,
Alejandro G. Iñárritu,"2,156",8.1,"Emilio Echevarría,Gael García Bernal,Goya Toledo,See full cast & crew",Amores Perros,
Hayao Miyazaki,"1,886",8.1,"Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,See full cast & crew",Nausicaä of the Valley of the Wind,"Hayao Miyazaki,Hayao Miyazaki,2 more credits"
Terry George,"2,619",8.1,"Don Cheadle,Sophie Okonedo,Joaquin Phoenix,See full cast & crew",Hotel Rwanda,"Keir Pearson,Terry George"
Rakeysh Omprakash Mehra,,8.2,"Aamir Khan,Soha Ali Khan,Siddharth,See full cast & crew",Rang De Basanti,"Renzil D'Silva,Prasoon Joshi,2 more credits"
François Truffaut,,8.1,"Jean-Pierre Léaud,Albert Rémy,Claire Maurier,See full cast & crew",The 400 Blows,"François Truffaut,Marcel Moussy,2 more credits"
David Yates,167,8.1,"Daniel Radcliffe,Emma Watson,Rupert Grint,See full cast & crew",Harry Potter and the Deathly Hallows: Part 2,"Steve Kloves,J.K. Rowling"
Peter Weir,692,8.1,"Robin Williams,Robert Sean Leonard,Ethan Hawke,See full cast & crew",Dead Poets Society,
James Mangold,414,8.1,"Hugh Jackman,Patrick Stewart,Dafne Keen,See full cast & crew",Logan,"James Mangold,Scott Frank,2 more credits"
Ron Howard,950,8.1,"Daniel Brühl,Chris Hemsworth,Olivia Wilde,See full cast & crew",Rush,
Lasse Hallström,,8.1,"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,See full cast & crew",Hachi: A Dog's Tale,"Stephen P. Lindsey,Kaneto Shindô"
Andrei Tarkovsky,,8.2,"Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,See full cast & crew",Andrei Rublev,"Andrey Konchalovskiy,Andrei Tarkovsky"
Terry Jones,"1,706",8.1,"Graham Chapman,John Cleese,Michael Palin,See full cast & crew",Monty Python's Life of Brian,"Graham Chapman,John Cleese,4 more credits"
William Wyler,"1,136",8.1,"Charlton Heston,Jack Hawkins,Stephen Boyd,See full cast & crew",Ben-Hur,"Lew Wallace,Karl Tunberg"
Oliver Stone,657,8.1,"Charlie Sheen,Tom Berenger,Willem Dafoe,See full cast & crew",Platoon,
Clint Eastwood,"1,083",8.1,"Hilary Swank,Clint Eastwood,Morgan Freeman,See full cast & crew",Million Dollar Baby,"Paul Haggis,F.X. Toole"
Sean Penn,480,8.1,"Emile Hirsch,Vince Vaughn,Catherine Keener,See full cast & crew",Into the Wild,"Sean Penn,Jon Krakauer"
Stanley Kubrick,"1,426",8.1,"Ryan O'Neal,Marisa Berenson,Patrick Magee,See full cast & crew",Barry Lyndon,"Stanley Kubrick,William Makepeace Thackeray"
Rob Reiner,517,8.1,"Wil Wheaton,River Phoenix,Corey Feldman,See full cast & crew",Stand by Me,"Stephen King,Raynold Gideon,1 more credit"
Sidney Lumet,596,8.1,"Faye Dunaway,William Holden,Peter Finch,See full cast & crew",Network,
George Miller,170,8.1,"Tom Hardy,Charlize Theron,Nicholas Hoult,See full cast & crew",Mad Max: Fury Road,"George Miller,Brendan McCarthy,1 more credit"
Stuart Rosenberg,"1,880",8.1,"Paul Newman,George Kennedy,Strother Martin,See full cast & crew",Cool Hand Luke,"Donn Pearce,Frank Pierson,1 more credit"
Steve McQueen,573,8.1,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,See full cast & crew",12 Years a Slave,"John Ridley,Solomon Northup"
Steven Spielberg,337,8.1,"Leonardo DiCaprio,Tom Hanks,Christopher Walken,See full cast & crew",Catch Me If You Can,"Jeff Nathanson,Frank Abagnale Jr.,1 more credit"
Denis Villeneuve,154,8.1,"Hugh Jackman,Jake Gyllenhaal,Viola Davis,See full cast & crew",Prisoners,
Richard Linklater,"1,085",8.1,"Ethan Hawke,Julie Delpy,Andrea Eckert,See full cast & crew",Before Sunrise,"Richard Linklater,Kim Krizan"
Ingmar Bergman,"2,328",8.1,"Bibi Andersson,Liv Ullmann,Margaretha Krook,See full cast & crew",Persona,
Mel Gibson,224,8.1,"Andrew Garfield,Sam Worthington,Luke Bracey,See full cast & crew",Hacksaw Ridge,"Robert Schenkkan,Andrew Knight"
"Dean DeBlois,Chris Sanders","1,634",8.1,"Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,See full cast & crew",How to Train Your Dragon,"William Davies,Dean DeBlois,3 more credits"
James Mangold,41,8.1,"Matt Damon,Christian Bale,Jon Bernthal,See full cast & crew",Ford v Ferrari,"Jez Butterworth,John-Henry Butterworth,1 more credit"
Jim Sheridan,"2,477",8.1,"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,See full cast & crew",In the Name of the Father,"Gerry Conlon,Terry George,1 more credit"
Adam Elliot,,8.1,"Toni Collette,Philip Seymour Hoffman,Eric Bana,See full cast & crew",Mary and Max,
Wes Anderson,336,8.1,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,See full cast & crew",The Grand Budapest Hotel,"Stefan Zweig,Wes Anderson,2 more credits"
David Fincher,126,8.1,"Ben Affleck,Rosamund Pike,Neil Patrick Harris,See full cast & crew",Gone Girl,"Gillian Flynn,Gillian Flynn"
"Joel Coen,Ethan Coen",325,8.1,"Jeff Bridges,John Goodman,Julianne Moore,See full cast & crew",The Big Lebowski,"Ethan Coen,Joel Coen"
Yavuz Turgul,,8.3,"Sener Sen,Ugur Yücel,Sermin Hürmeriç,See full cast & crew",The Bandit,
"Sergio Pablos,Carlos Martínez López","1,354",8.2,"Jason Schwartzman,J.K. Simmons,Rashida Jones,See full cast & crew",Klaus,"Sergio Pablos,Sergio Pablos,2 more credits"
Sriram Raghavan,,8.3,"Ayushmann Khurrana,Tabu,Radhika Apte,See full cast & crew",Andhadhun,"Arijit Biswas,Yogesh Chandekar,4 more credits"
Bong Joon Ho,698,8.1,"Kang-ho Song,Sang-kyung Kim,Roe-ha Kim,See full cast & crew",Memories of Murder,"Bong Joon Ho,Kwang-rim Kim,1 more credit"
Damián Szifron,"1,148",8.1,"Darío Grandinetti,María Marull,Mónica Villa,See full cast & crew",Wild Tales,"Germán Servidio,Damián Szifron"
Yasujirô Ozu,,8.2,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura,See full cast & crew",Tokyo Story,"Kôgo Noda,Yasujirô Ozu"
Peter Weir,368,8.1,"Jim Carrey,Ed Harris,Laura Linney,See full cast & crew",The Truman Show,
Clint Eastwood,977,8.1,"Clint Eastwood,Bee Vang,Christopher Carley,See full cast & crew",Gran Torino,"Nick Schenk,Dave Johannson,1 more credit"
Quentin Tarantino,412,8.1,"Uma Thurman,David Carradine,Daryl Hannah,See full cast & crew",Kill Bill: Vol. 1,"Quentin Tarantino,Quentin Tarantino,1 more credit"
Michael Cimino,92,8.1,"Robert De Niro,Christopher Walken,John Cazale,See full cast & crew",The Deer Hunter,"Michael Cimino,Deric Washburn,3 more credits"
Andrei Tarkovsky,,8.2,"Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,See full cast & crew",Stalker,"Arkadiy Strugatskiy,Boris Strugatskiy,2 more credits"
"Joel Coen,Ethan Coen",356,8.1,"William H. Macy,Frances McDormand,Steve Buscemi,See full cast & crew",Fargo,"Ethan Coen,Joel Coen"
